City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Ostrovnoy,RU,68.0531,39.5131,33.19,92,100,15.17,overcast clouds
292,Price,US,39.5994,-110.8107,36.12,55,100,24.16,overcast clouds
293,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,71,40,4.61,light rain
294,Nizhnevartovsk,RU,60.9344,76.5531,21.22,86,100,11.18,light snow
295,Graciano Sanchez,MX,23.9167,-99.2833,68.31,71,24,5.79,few clouds
296,Takoradi,GH,4.8845,-1.7554,78.26,87,65,5.06,broken clouds
297,Ahipara,NZ,-35.1667,173.1667,69.6,81,14,7.81,few clouds
298,Santa Fe,AR,-31.6333,-60.7,66.02,57,89,8.01,light rain
299,Sunbury,AU,-37.5833,144.7333,88.7,41,0,10.36,clear sky
300,Koslan,RU,63.4564,48.8989,25.25,85,100,11.65,overcast clouds
301,Rumphi,MW,-11.0186,33.8575,66.0,98,98,1.23,light rain
302,Lhokseumawe,ID,5.1801,97.1507,81.68,79,100,6.24,overcast clouds
303,Envira,BR,-7.3,-70.2167,71.28,100,100,2.59,overcast clouds
304,Awbari,LY,26.5921,12.7805,51.58,51,0,13.09,clear sky
305,Atbasar,KZ,51.8,68.3333,9.97,92,100,21.36,overcast clouds
306,Sola,VU,-13.8833,167.55,82.85,72,100,11.74,overcast clouds
307,Kosmynino,RU,57.5818,40.7643,35.08,90,60,11.5,broken clouds
308,Ustye,RU,59.6304,39.736,32.63,87,5,9.44,clear sky
309,Lavrentiya,RU,65.5833,-171.0,-2.97,88,3,2.59,clear sky
310,Fonte Boa,BR,-2.4959,-66.2662,70.88,98,94,1.14,overcast clouds
311,Kalmunai,LK,7.4167,81.8167,85.46,66,8,3.18,clear sky
312,Tolga,DZ,34.7222,5.3785,54.41,72,73,6.76,broken clouds
313,Changchun,CN,43.88,125.3228,37.36,39,36,14.41,scattered clouds
314,Hasaki,JP,35.7333,140.8333,54.0,49,100,8.5,overcast clouds
315,Tiznit,MA,29.5833,-9.5,50.72,85,37,1.41,scattered clouds
316,Antofagasta,CL,-23.65,-70.4,63.68,82,46,4.05,scattered clouds
317,Kysyl-Syr,RU,63.8986,122.7617,20.93,87,100,3.44,light snow
318,Shimoda,JP,34.6667,138.95,53.96,69,100,7.02,overcast clouds
319,Vestmannaeyjar,IS,63.4427,-20.2734,39.56,64,100,15.21,overcast clouds
320,Jerecuaro,MX,20.15,-100.5167,59.22,36,5,4.74,clear sky
321,Bonthe,SL,7.5264,-12.505,75.29,84,100,6.29,overcast clouds
322,Dzilam Gonzalez,MX,21.2833,-88.9333,76.01,76,4,7.74,clear sky
323,Asau,RO,46.4333,26.4,29.95,67,26,4.94,scattered clouds
324,Rantauprapat,ID,2.1,99.8333,91.8,47,93,1.19,overcast clouds
325,Alice Springs,AU,-23.7,133.8833,92.75,16,0,10.36,clear sky
326,Fare,PF,-16.7,-151.0167,82.71,67,5,16.93,clear sky
327,Zhigansk,RU,66.7697,123.3711,12.69,85,100,16.31,overcast clouds
328,Maple Grove,US,45.0725,-93.4558,52.48,47,0,6.91,clear sky
329,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,20.71,few clouds
330,Foso,GH,5.7012,-1.2866,73.54,97,100,2.21,overcast clouds
331,Sainte-Suzanne,RE,-20.9061,55.6089,83.46,73,20,3.44,few clouds
332,Kiama,AU,-34.6833,150.8667,75.45,63,45,7.34,scattered clouds
333,Broken Hill,AU,-31.95,141.4333,92.91,22,40,11.5,scattered clouds
334,Sao Filipe,CV,14.8961,-24.4956,69.26,72,10,7.07,clear sky
335,Mount Isa,AU,-20.7333,139.5,96.57,20,40,10.36,scattered clouds
336,Aranos,NA,-24.1333,19.1167,68.29,72,83,11.27,broken clouds
337,Luderitz,NA,-26.6481,15.1594,72.28,67,0,6.98,clear sky
338,Constitucion,CL,-35.3333,-72.4167,55.49,90,55,3.36,broken clouds
339,Palauig,PH,15.435,119.9045,88.2,59,82,9.57,broken clouds
340,Avera,US,33.194,-82.5271,50.38,61,0,6.26,clear sky
341,Coos Bay,US,43.3665,-124.2179,46.92,90,100,4.61,overcast clouds
342,Niederkassel,DE,50.8167,7.0333,46.98,69,0,5.75,clear sky
343,Aksarka,RU,66.5606,67.7975,11.39,91,98,19.95,overcast clouds
344,Zeven,DE,53.3,9.2833,42.51,62,24,7.25,few clouds
345,Ribeira Grande,PT,38.5167,-28.7,56.34,66,98,26.84,overcast clouds
346,Bonavista,CA,48.6499,-53.1147,28.44,94,100,27.96,light snow
