City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Bubaque,GW,2022-03-20 04:18:30,11.2833,-15.8333,75.58,60,18,10.36
283,Ruwi,OM,2022-03-20 04:18:31,23.5996,58.5507,74.89,52,0,9.08
284,Necochea,AR,2022-03-20 04:17:09,-38.5473,-58.7368,49.6,67,54,9.33
285,Komsomolskiy,UZ,2022-03-20 04:18:18,40.4272,71.7189,38.12,81,100,2.3
286,Port Hedland,AU,2022-03-20 04:15:18,-20.3167,118.5667,100.45,32,43,6.91
287,Aswan,EG,2022-03-20 04:18:32,24.0934,32.907,59.79,31,92,7.87
288,Stornoway,GB,2022-03-20 04:15:30,58.2093,-6.3865,49.03,64,0,11.5
289,Chernihiv,UA,2022-03-20 04:18:33,51.0,32.0,29.05,84,11,4.72
290,Shaunavon,CA,2022-03-20 04:18:33,49.6501,-108.4181,40.78,56,100,8.05
291,Senno,RU,2022-03-20 04:18:34,59.5336,33.9167,26.26,90,6,7.61
292,Ancud,CL,2022-03-20 04:18:34,-41.8697,-73.8203,56.23,71,100,4.32
293,Portobelo,PA,2022-03-20 04:18:35,9.55,-79.65,77.72,85,100,12.86
294,Ponnani,IN,2022-03-20 04:18:35,10.767,75.9252,79.92,65,10,4.97
